Country ,UNSCRegGrp,LocationCode,ISO3_CODE,ISO2_CODE,SDMX,TwentyTwo,TwentyThree,TwentyFour,TwentyFive,TwentySix,TwentySeven,TwentyEight,TwentyNine,Thirty,ThirtyOne,ThirtyTwo,ThirtyThree,ThirtyFour,ThirtyFive,ThirtySix,ThirtySeven,ThirtyEight,ThirtyNine,Fourty,FourtyOne,FourtyTwo,FourtyThree,FourtyFour,FourtyFive,FourtySix,FourtySeven,FourtyEight,FourtyNine,Fifty,FiftyOne,FiftyTwo,FiftyThree,FiftyFour,FiftyFive,FiftySix,FiftySeven,FiftyEight,FiftyNine,Sixty,SixtyOne,SixtyTwo,SixtyThree,SixtyFour,SixtyFive,SixtySix,SixtySeven,SixtyEight,SixtyNine,Seventy,SeventyOne,SeventyTwo,SeventyThree,SeventyFour,SeventyFive,SeventySix,SeventySeven,SeventyEight,SeventyNine,Eighty,EightyOne,EightyTwo,EightyThree,EightyFour,EightyFive,EightySix,EightySeven,EightyEight,EightyNine,Ninety,NinetyOne,NinetyTwo,NinetyThree,NinetyFour,NinetyFive,NinetySix,NinetySeven,NinetyEight,NinetyNine,OneHundred
Burundi,African Group,108,BDI,BI,108,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,20361593,20794876,21227305,21659444,22090717,22521094,22949637,23374033,23793823,24208671,24618374,25025719,25430855,25832093,26228499,26621890,27012198,27397595,27778942,28157362,28532617,28905042,29276644,29648035,30018379,30386201,30752352,31116823,31476578,31830631,32179906,32522741,32860446,33194056,33522342,33843627,34157130,34464494,34764730,35058272,35345592,35624774,35895828,36158609,36412720,36657929,36895448,37126061,37348321,37562757,37770027,37971374,38167025,38357054,38541282,38719909,38893768,39063355,39228497,39388466
Comoros,African Group,174,COM,KM,174,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034321,1049115,1063780,1078375,1092920,1107417,1121845,1136166,1150372,1164502,1178543,1192452,1206213,1219782,1233111,1246206,1259123,1271890,1284481,1296829,1308947,1320858,1332483,1343814,1354838,1365515,1375921,1386073,1395911,1405430,1414628,1423515,1432144,1440523,1448608,1456399,1463928,1471213,1478330,1485206,1491706,1497957,1504071,1509948,1515546,1520916,1526035,1530885,1535434,1539667,1543637,1547360,1550850,1554101,1557050,1559677,1562055,1564160,1565961,1567468,1568648,1569524,1570117,1570403,1570405,1570166
Djibouti,African Group,262,DJI,DJ,262,1120849,1136454,1152329,1168257,1184178,1200066,1215879,1231575,1247129,1262554,1277807,1292874,1307741,1322377,1336717,1350696,1364394,1377832,1390928,1403695,1416095,1428097,1439706,1450909,1461817,1472461,1482795,1492843,1502575,1511963,1521100,1530028,1538708,1547111,1555222,1563097,1570751,1578144,1585295,1592209,1598838,1605142,1611202,1616998,1622403,1627525,1632436,1637062,1641367,1645418,1649224,1652741,1655991,1658963,1661693,1664199,1666488,1668524,1670327,1671934,1673343,1674572,1675642,1676570,1677362,1678041,1678612,1679047,1679357,1679571,1679691,1679720,1679657,1679465,1679153,1678762,1678272,1677667,1676909
Eritrea,African Group,232,ERI,ER,232,3684032,3748902,3817650,3889630,3963932,4040638,4119756,4200710,4283354,4367625,4453047,4539274,4625813,4712526,4799286,4885821,4972304,5058644,5144492,5229664,5314210,5398164,5481647,5564344,5646148,5726855,5806460,5885492,5964021,6042217,6119994,6197146,6273696,6349892,6425656,6501065,6575913,6649906,6723288,6795826,6867638,6939155,7009836,7079189,7147496,7214710,7280786,7345533,7408628,7470514,7531185,7590222,7647724,7703768,7758382,7811371,7862581,7912056,7959756,8005458,8049431,8091956,8132708,8171621,8208962,8244855,8279158,8311896,8343092,8372516,8400317,8426891,8452049,8475772,8498359,8519695,8539595,8558090,8575294
Ethiopia,African Group,231,ETH,ET,231,123379924,126527060,129719719,132938555,136180141,139439744,142715864,146003944,149296378,152585021,155874633,159160258,162438815,165715492,168986410,172252604,175514171,178779627,182052579,185332694,188613575,191902757,195196697,198485649,201764870,205033876,208297232,211557468,214812309,218046158,221266154,224472476,227653409,230800275,233903339,236967888,240002932,242990752,245919534,248807501,251667029,254483187,257248325,259964974,262635700,265259311,267826274,270350005,272841874,275289974,277682630,280013831,282290972,284525710,286715684,288852130,290936911,292975227,294960456,296891620,298777308,300615316,302399144,304126907,305803942,307425854,308989182,310500448,311958144,313363634,314729463,316049671,317313085,318519616,319666490,320760088,321805378,322799552,323741600
Kenya,African Group,404,KEN,KE,404,54027487,55100587,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342688,72493659,73634414,74757978,75866828,76961167,78039853,79104471,80156600,81195005,82219527,83230070,84227657,85211739,86180531,87136936,88079530,89009410,89930664,90841703,91739354,92623988,93491952,94340314,95167608,95977327,96770484,97545544,98299137,99033579,99748454,100441292,101115968,101768606,102397862,103004540,103592150,104160996,104706431,105230178,105734209,106220830,106689223,107137378,107569758,107986356,108385768,108769044,109136418,109483944,109812297,110124435,110419644,110696703,110953043,111189713,111410712,111613373,111797574,111965712,112121517,112267431,112401710,112525079
Madagascar,African Group,450,MDG,MG,450,29611714,30325732,31056610,31797306,32544738,33299316,34061943,34830841,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300,44328120,45131260,45935275,46740496,47546606,48355513,49165426,49974855,50784139,51592965,52399823,53206238,54012666,54818203,55619950,56416688,57210138,57999237,58786068,59569664,60345946,61116588,61880166,62634952,63382662,64121854,64851019,65573232,66288488,66996741,67699055,68390904,69073458,69747752,70410412,71060446,71700163,72330872,72949534,73555981,74152083,74732965,75299218,75857443,76405171,76942334,77469840,77987912,78494607,78988978,79472330,79943251,80402036,80848031,81282878,81710424,82128831,82535584,82932562,83316557
Malawi,African Group,454,MWI,MW,454,20405317,20931751,21475962,22033992,22601151,23176272,23758548,24347875,24944243,25544609,26148406,26755508,27364192,27975136,28589069,29206646,29825538,30443121,31059544,31674805,32289974,32904194,33515465,34126155,34735672,35344273,35952328,36557676,37159300,37756273,38349203,38940204,39527997,40111553,40690625,41265000,41836941,42404926,42963917,43515792,44062512,44601768,45132253,45653352,46168319,46677674,47180754,47677719,48166814,48648465,49120721,49580731,50030945,50473008,50905898,51328433,51741397,52145909,52543917,52934607,53314665,53686080,54048535,54400048,54741018,55070679,55390428,55702795,56005998,56299310,56583136,56856796,57121461,57377618,57624469,57861503,58090182,58310462,58521720
Mauritius,African Group,480,MUS,MU,480,1299469,1300557,1301978,1303210,1304199,1304905,1305373,1305568,1305425,1304934,1304095,1302906,1301364,1299452,1297139,1294443,1291363,1287886,1284007,1279715,1275002,1269892,1264437,1258664,1252597,1246298,1239794,1233086,1226235,1219284,1212269,1205227,1198160,1191086,1184001,1176908,1169803,1162693,1155585,1148471,1141348,1134227,1127095,1119914,1112671,1105350,1097943,1090477,1082932,1075284,1067544,1059716,1051816,1043858,1035829,1027717,1019533,1011306,1003054,994760,986442,978122,969802,961480,953184,944946,936771,928654,920616,912682,904869,897180,889624,882208,874889,867688,860622,853689,846900
Mayotte,,175,MYT,YT,175,910000,326100,335995,345996,356021,366112,376300,386588,396998,407579,418361,429359,440586,452066,463797,475773,487989,500453,513157,526074,539246,552646,566226,579971,593847,607825,621874,635958,650054,664141,678182,692205,706230,720207,734134,748024,761912,775788,789642,803532,817480,831490,845591,859787,874052,888394,902864,917492,932203,946962,961760,976588,991445,1006280,1021100,1035901,1050664,1065374,1080010,1094545,1108926,1123171,1137335,1151396,1165323,1179068,1192633,1206089,1219422,1232617,1245639,1258548,1271401,1284113,1296614,1308917,1321041,1333002,1344792
Mozambique,African Group,508,MOZ,MZ,508,32969518,33897354,34858402,35834558,36825701,37831125,38849522,39880166,40920707,41972677,43036239,44106698,45186201,46273717,47365951,48466890,49574698,50685125,51800400,52917300,54034720,55157639,56284548,57411685,58538612,59669022,60798387,61921656,63044497,64166959,65289076,66411858,67531050,68645364,69758296,70863671,71955768,73039510,74117243,75187298,76249128,77300180,78336291,79364069,80384506,81389112,82380520,83362574,84333440,85288233,86228365,87158718,88074386,88977367,89867532,90739626,91595788,92436516,93264598,94078571,94874944,95655760,96420071,97165952,97891687,98599479,99291700,99966665,100621306,101257806,101876477,102477180,103061548,103629213,104180902,104713645,105224688,105718606,106196946
Réunion,,638,REU,RE,638,910000,974052,981796,989350,996743,1003980,1011089,1018106,1025019,1031822,1038523,1045086,1051502,1057762,1063829,1069735,1075457,1080986,1086314,1091403,1096240,1100810,1105093,1109084,1112820,1116302,1119488,1122358,1124946,1127252,1129300,1131116,1132708,1134115,1135341,1136402,1137331,1138164,1138894,1139533,1140110,1140655,1141170,1141688,1142227,1142782,1143358,1143953,1144535,1145107,1145674,1146203,1146694,1147125,1147500,1147817,1148056,1148205,1148263,1148215,1148010,1147671,1147219,1146617,1145834,1144867,1143748,1142467,1140999,1139338,1137476,1135426,1133209,1130865,1128373,1125741,1122988,1120104,1117091
Rwanda,African Group,646,RWA,RW,646,13776698,14094683,14414910,14737248,15061866,15387840,15715617,16045268,16375704,16706697,17038488,17371424,17705321,18040220,18376507,18714064,19051669,19388318,19724007,20059538,20394731,20728002,21060157,21391577,21722279,22052274,22380425,22706656,23030046,23349990,23668244,23984997,24299139,24610588,24918288,25222427,25521921,25815858,26105535,26391711,26674285,26951770,27223933,27490943,27753004,28010974,28264569,28514002,28759715,29000543,29236376,29467686,29693780,29915471,30132930,30346162,30554766,30757446,30954631,31147082,31334547,31516875,31694499,31866314,32032725,32194558,32351512,32503141,32649239,32789939,32925522,33056357,33180814,33299383,33412587,33519705,33621499,33718662,33811630
Seychelles,African Group,690,SYC,SC,690,107118,107660,108263,108844,109397,109913,110404,110878,111317,111733,112143,112531,112902,113262,113607,113944,114268,114569,114862,115143,115406,115647,115864,116059,116232,116377,116496,116585,116644,116669,116672,116654,116604,116524,116414,116281,116124,115951,115767,115556,115328,115096,114850,114596,114345,114081,113806,113534,113258,112978,112695,112405,112118,111834,111552,111257,110954,110659,110360,110052,109746,109436,109123,108815,108496,108175,107851,107528,107202,106867,106539,106204,105862,105510,105153,104790,104420,104043,103654
Somalia,African Group,706,SOM,SO,706,17597511,18143378,18706922,19281903,19867185,20463994,21071158,21689079,22316857,22954690,23603148,24260802,24929001,25606196,26289266,26980593,27679425,28383844,29094715,29812160,30535607,31263713,31997075,32734341,33475243,34220748,34967417,35714724,36462830,37211342,37960722,38710516,39461312,40210639,40957262,41701252,42442082,43179007,43912900,44641487,45364664,46084962,46800928,47512003,48217095,48916612,49608084,50290955,50967024,51636345,52299004,52953816,53600468,54239537,54866625,55479980,56084971,56681407,57264688,57833978,58393789,58945284,59486365,60016254,60530014,61029626,61521694,62000715,62464711,62916338,63353514,63775871,64184959,64578676,64955972,65317937,65668552,66008750,66335733
